"project_entity_id","canonical_project_name","aliases","website","project_twitter","project_github","user_github","payout_addresses","project_type","domain","function","region","project_status","classification_status","match_status","confirmed_by","confirmed_at","notes","created_at_source","last_edited_source"
"DSPJ-0034","Mental Wealth Academy",,,,,,,"Platform","AI / Data","Automation, Coordination",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0035","DIY Particle Accelerator",,,,,,,"Experimental / Speculative","Space / Physics","Experimentation",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0036","Expanse Bio",,,,,,,,,,,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0037","Mortech Regen Hub",,,,,,,"Platform","Art / Culture","Community Building, Marketplace",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0038","OneHealth",,,,,,,"Product","Biotech / Health","Data Storage, Identity",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0039","Kind Design",,,,,,,"Research","Biotech / Health","Research Generation",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0040","DeSci Reviews",,,,,,,"Platform","Governance / DAO","Funding, Publishing",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0041","GreenSci",,,,,,,"Funding Mechanism","Environment / Climate","Funding",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0042","PrivexaAI",,,,,,,"Product","Biotech / Health","Data Ownership, Marketplace",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0043","Regen Reef Fish",,,,,,,,,,,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0044","Africa Research Base",,,,,,,"Infrastructure","AI / Data","Data Collection, Marketplace",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0045","Asterisk Women Health",,,,,,,"Media / Narrative","Biotech / Health","Advocacy, Publishing",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0046","Plague Hunt",,,,,,,"Product","Environment / Climate","Citizen Science, Data Collection",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0047","DeSci Mexico",,,,,,,"Community","Education","Community Building, Education",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0048","DeSci Survey",,,,,,,"Research","Social / Community","Analysis, Data Collection",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0049","FunDeSci",,,,,,,"Platform","Governance / DAO","Funding, Marketplace",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
