"donor_id","wallet_address","first_seen_funding_round_id","supported_round_count","supported_project_count","total_donation_event_count","done_event_count","success_true_event_count","success_false_event_count","total_amount_usd_all_events","done_amount_usd","success_true_amount_usd","success_false_amount_usd","notes"
"DSDN-000060","0xb89670126683df46d1edbe7d55ba105419a2a5ce","FR-GTC-GG23-DESCI","1","1","1","0","0","0","4.465","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000061","0xb9c05f7a8b0ce1f6c9d760dc05880bf8159b2f9f","FR-GTC-GG23-DESCI","1","1","1","0","0","0","2.8183","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000062","0xbc5f70dccc192e1a04c2d3187f098c3afc447fdd","FR-GTC-GG23-DESCI","1","4","7","0","0","0","3.2144","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000063","0xbd5fff8b575c6071bdabe1dd0e40b74b3e002a8d","FR-GTC-GG23-DESCI","1","2","2","0","0","0","1.993","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000064","0xc3f836ec06a2202af23e59997a613ca0722f35d1","FR-GTC-GG23-DESCI","1","1","1","1","1","0","15.9457","15.9457","15.9457","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000065","0xc5675733815d525abd90faf3edb19b0a9087d411","FR-GTC-GG23-DESCI","1","1","1","0","0","0","1.0004","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000066","0xca63608615de005339652c0eca93c5836eb0c2bd","FR-GTC-GG23-DESCI","1","1","1","1","0","1","2.901","2.901","0","2.901","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000067","0xcb1b704ce494b73e2f9f67f876a464b507d2c97a","FR-GTC-GG23-DESCI","1","1","1","1","1","0","1.524","1.524","1.524","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000068","0xcfbb3aa0a262212a478e06e3286538e6c12db604","FR-GTC-GG23-DESCI","1","3","3","3","3","0","9.299","9.299","9.299","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000069","0xd85852a0cf481208431caac96bb091165412191d","FR-GTC-GG23-DESCI","1","1","1","0","0","0","0.9938","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
